"The response is in wrong format.","A resposta está no formato errado."
"Enabled","Habilitado"
"Yes","Sim"
"No","Não"
"Username","Login"
"Password","Senha"
"Carrier Title","Nome da transportadora"
"Allowed Methods","Metodos de envio habilitados"
"Free Method","Metodo para frete grátis"
"Show Estimate","Mostrar prazo de entrega"
"Add Days To Estimate","Somar dias ao prazo de entrega"
"Package Type","Tipo da embalagem"
"Package Width","Largura da embalagem"
"Package Height","Altura da embalagem"
"Package Length","Comprimento da embalagem"
"Package Diameter","Diametro da embalagem"
"Use Declared Value Service","Utilizar o serviço 'valor declarado'"
"Notify Delivery","Notificar entrega"
"Ship to Applicable Countries","Habilitar para países aplicáveis"
"All Allowed Countries","Todos os países"
"Specific Countries","Países específicos"
"Ship to Specific Countries","Habilitar apenas para os países específicos"
"Log Errors","Salvar erros no log"
"Displayed Error Message","Mensagem de erro exibida"
"Sort Order","Posição"
